year,status_label,primary_topic,population_count,target_sample_count,population_prop,target_sample_prop,abs_prop_diff
2021,Helpful,Factual error,339,3,0.00014125317819650943,0.00015,8.746821803490561e-06
2021,Helpful,Manipulated media,42,0,1.7500393758859576e-05,0.0,1.7500393758859576e-05
2021,Helpful,Missing important context,111,1,4.625104064841459e-05,5e-05,3.7489593515854146e-06
2021,Helpful,Other,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07
2021,Helpful,Outdated information,25,0,1.0416901046940223e-05,0.0,1.0416901046940223e-05
2021,Helpful,Satire,13,0,5.416788544408916e-06,0.0,5.416788544408916e-06
2021,Helpful,Unverified claim as fact,17,0,7.083492711919351e-06,0.0,7.083492711919351e-06
2021,Need More Ratings,Factual error,8737,73,0.003640498577884669,0.00365,9.501422115330838e-06
2021,Need More Ratings,Manipulated media,695,6,0.0002895898491049382,0.0003,1.0410150895061776e-05
2021,Need More Ratings,Missing important context,2946,25,0.0012275276193714358,0.00125,2.24723806285642e-05
2021,Need More Ratings,Not misleading,2440,20,0.0010166895421813656,0.001,1.668954218136563e-05
2021,Need More Ratings,Other,190,2,7.91684479567457e-05,0.0001,2.0831552043254308e-05
2021,Need More Ratings,Outdated information,386,3,0.00016083695216475704,0.00015,1.083695216475705e-05
2021,Need More Ratings,Satire,240,2,0.00010000225005062614,0.0001,2.250050626137587e-09
2021,Need More Ratings,Unverified claim as fact,900,8,0.00037500843768984804,0.0004,2.499156231015198e-05
2021,Not Helpful,Factual error,52,0,2.1667154177635663e-05,0.0,2.1667154177635663e-05
2021,Not Helpful,Manipulated media,8,0,3.3334083350208713e-06,0.0,3.3334083350208713e-06
2021,Not Helpful,Missing important context,39,0,1.6250365633226748e-05,0.0,1.6250365633226748e-05
2021,Not Helpful,Other,6,0,2.5000562512656535e-06,0.0,2.5000562512656535e-06
2021,Not Helpful,Outdated information,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07
2021,Not Helpful,Satire,4,0,1.6667041675104356e-06,0.0,1.6667041675104356e-06
2021,Not Helpful,Unverified claim as fact,14,0,5.833464586286525e-06,0.0,5.833464586286525e-06
2022,Helpful,Factual error,948,8,0.00039500888769997323,0.0004,4.991112300026788e-06
2022,Helpful,Manipulated media,265,2,0.00011041915109756636,0.0001,1.0419151097566353e-05
2022,Helpful,Missing important context,429,4,0.00017875402196549422,0.0002,2.124597803450579e-05
2022,Helpful,Other,11,0,4.583436460653698e-06,0.0,4.583436460653698e-06
2022,Helpful,Outdated information,98,1,4.0834252104005676e-05,5e-05,9.165747895994326e-06
2022,Helpful,Satire,62,1,2.5833914596411753e-05,5e-05,2.416608540358825e-05
2022,Helpful,Unverified claim as fact,51,0,2.1250478135758056e-05,0.0,2.1250478135758056e-05
2022,Need More Ratings,Factual error,7771,65,0.003237989521430899,0.00325,1.2010478569100813e-05
2022,Need More Ratings,Manipulated media,744,6,0.000310006975156941,0.0003,1.0006975156941049e-05
2022,Need More Ratings,Missing important context,3824,32,0.0015933691841399766,0.0016,6.630815860023511e-06
2022,Need More Ratings,Not misleading,2645,22,0.0011021081307662755,0.0011,2.1081307662754265e-06
2022,Need More Ratings,Other,221,2,9.208540525495157e-05,0.0001,7.914594745048436e-06
2022,Need More Ratings,Outdated information,563,5,0.00023458861157709383,0.00025,1.5411388422906176e-05
2022,Need More Ratings,Satire,230,2,9.583548963185005e-05,0.0001,4.16451036814996e-06
2022,Need More Ratings,Unverified claim as fact,706,6,0.0002941732855655919,0.0003,5.826714434408072e-06
2022,Not Helpful,Factual error,189,2,7.875177191486809e-05,0.0001,2.1248228085131915e-05
2022,Not Helpful,Manipulated media,28,0,1.166692917257305e-05,0.0,1.166692917257305e-05
2022,Not Helpful,Missing important context,143,1,5.958467398849807e-05,5e-05,9.58467398849807e-06
2022,Not Helpful,Not misleading,95,1,3.958422397837285e-05,5e-05,1.0415776021627154e-05
2022,Not Helpful,Other,40,0,1.6667041675104358e-05,0.0,1.6667041675104358e-05
2022,Not Helpful,Outdated information,21,0,8.750196879429788e-06,0.0,8.750196879429788e-06
2022,Not Helpful,Satire,9,0,3.7500843768984804e-06,0.0,3.7500843768984804e-06
2022,Not Helpful,Unverified claim as fact,57,1,2.3750534387023708e-05,5e-05,2.6249465612976295e-05
2023,Helpful,Factual error,17529,146,0.007303914338072606,0.0073,3.914338072606195e-06
2023,Helpful,Manipulated media,5017,42,0.002090463702099964,0.0021,9.536297900035896e-06
2023,Helpful,Missing important context,7875,66,0.0032813238297861704,0.0033,1.86761702138296e-05
2023,Helpful,Not misleading,2,0,8.333520837552178e-07,0.0,8.333520837552178e-07
2023,Helpful,Other,882,7,0.00036750826893605106,0.00035,1.7508268936051064e-05
2023,Helpful,Outdated information,2169,18,0.0009037703348325337,0.0009,3.770334832533715e-06
2023,Helpful,Satire,583,5,0.000242922132414646,0.00025,7.077867585354009e-06
2023,Helpful,Unverified claim as fact,966,8,0.0004025090564537702,0.0004,2.5090564537701924e-06
2023,Need More Ratings,Factual error,122150,1018,0.05089697851534993,0.0509,3.021484650068962e-06
2023,Need More Ratings,Manipulated media,18979,158,0.00790809459879514,0.0079,8.09459879513863e-06
2023,Need More Ratings,Missing important context,59325,494,0.02471930618438915,0.0247,1.9306184389149966e-05
2023,Need More Ratings,Not misleading,85539,713,0.03564205194616879,0.03565,7.948053831211e-06
2023,Need More Ratings,Other,6665,56,0.0027771458191142634,0.0028,2.2854180885736614e-05
2023,Need More Ratings,Outdated information,14774,123,0.006155971842699794,0.00615,5.971842699794075e-06
2023,Need More Ratings,Satire,3573,30,0.0014887834976286967,0.0015,1.1216502371303285e-05
2023,Need More Ratings,Unverified claim as fact,10837,90,0.004515518265827648,0.0045,1.5518265827648044e-05
2023,Not Helpful,Factual error,2855,24,0.0011896100995605733,0.0012,1.0389900439426551e-05
2023,Not Helpful,Manipulated media,601,5,0.000250422301168443,0.00025,4.223011684429713e-07
2023,Not Helpful,Missing important context,2028,17,0.0008450190129277909,0.00085,4.98098707220904e-06
2023,Not Helpful,Not misleading,4240,35,0.0017667064175610617,0.00175,1.6706417561061695e-05
2023,Not Helpful,Other,734,6,0.00030584021473816495,0.0003,5.840214738164979e-06
2023,Not Helpful,Outdated information,551,5,0.00022958849907456252,0.00025,2.0411500925437487e-05
2023,Not Helpful,Satire,389,3,0.00016208698029038986,0.00015,1.208698029038987e-05
2023,Not Helpful,Unverified claim as fact,646,5,0.0002691727230529354,0.00025,1.9172723052935368e-05
2024,Helpful,Factual error,45374,378,0.018906258724154627,0.0189,6.258724154627193e-06
2024,Helpful,Manipulated media,12027,100,0.005011362755662003,0.005,1.1362755662002594e-05
2024,Helpful,Missing important context,19417,162,0.008090598705137533,0.0081,9.401294862466936e-06
2024,Helpful,Other,4590,38,0.0019125430322182249,0.0019,1.2543032218224892e-05
2024,Helpful,Outdated information,6601,55,0.0027504785524340965,0.00275,4.785524340966685e-07
2024,Helpful,Satire,977,8,0.0004070924929144239,0.0004,7.0924929144238966e-06
2024,Helpful,Unverified claim as fact,2190,18,0.0009125205317119635,0.0009,1.2520531711963543e-05
2024,Need More Ratings,Factual error,333229,2777,0.13884854075883374,0.13885,1.4592411662628368e-06
2024,Need More Ratings,Manipulated media,57456,479,0.023940538662119898,0.02395,9.461337880101173e-06
2024,Need More Ratings,Missing important context,149215,1244,0.06217431558876741,0.0622,2.568441123258769e-05
2024,Need More Ratings,Not misleading,238129,1984,0.09922264917627313,0.0992,2.2649176273134564e-05
2024,Need More Ratings,Other,30918,258,0.012882789862771912,0.0129,1.721013722808841e-05
2024,Need More Ratings,Outdated information,42397,353,0.017665814147484984,0.01765,1.581414748498544e-05
2024,Need More Ratings,Satire,7352,61,0.003063402259884181,0.00305,1.3402259884180614e-05
2024,Need More Ratings,Unverified claim as fact,20684,172,0.008618527250196463,0.0086,1.8527250196463327e-05
2024,Not Helpful,Factual error,8823,74,0.0036763327174861435,0.0037,2.3667282513856712e-05
2024,Not Helpful,Manipulated media,1529,13,0.000637097668030864,0.00065,1.2902331969135957e-05
2024,Not Helpful,Missing important context,5030,42,0.002095880490644373,0.0021,4.119509355627032e-06
2024,Not Helpful,Not misleading,12983,108,0.005409705051696996,0.0054,9.70505169699612e-06
2024,Not Helpful,Other,1835,15,0.0007646005368454124,0.00075,1.4600536845412338e-05
2024,Not Helpful,Outdated information,1465,12,0.0006104304013506971,0.0006,1.0430401350697109e-05
2024,Not Helpful,Satire,794,7,0.0003308407772508215,0.00035,1.9159222749178515e-05
2024,Not Helpful,Unverified claim as fact,929,8,0.00038709204290429867,0.0004,1.2907957095701348e-05
2025,Helpful,Factual error,33242,277,0.013851144984095476,0.01385,1.144984095476781e-06
2025,Helpful,Manipulated media,10724,89,0.004468433873095478,0.00445,1.843387309547785e-05
2025,Helpful,Missing important context,12601,105,0.00525053480369975,0.00525,5.34803699749932e-07
2025,Helpful,Other,3762,31,0.0015675352695435647,0.00155,1.7535269543564715e-05
2025,Helpful,Outdated information,4838,40,0.002015878690603872,0.002,1.5878690603871818e-05
2025,Helpful,Satire,774,6,0.0003225072564132693,0.0003,2.2507256413269313e-05
2025,Helpful,Unverified claim as fact,1717,14,0.0007154327639038545,0.0007,1.5432763903854463e-05
2025,Need More Ratings,Factual error,262227,2185,0.10926370843343976,0.10925,1.3708433439757473e-05
2025,Need More Ratings,Manipulated media,50341,420,0.02097588862416071,0.021,2.4111375839290516e-05
2025,Need More Ratings,Missing important context,107191,893,0.044663921604902776,0.04465,1.3921604902773776e-05
2025,Need More Ratings,Not misleading,138065,1151,0.05752837772183207,0.05755,2.1622278167925113e-05
2025,Need More Ratings,Other,26690,222,0.011121083557713381,0.0111,2.1083557713380552e-05
2025,Need More Ratings,Outdated information,33381,278,0.013909062953916463,0.0139,9.062953916463834e-06
2025,Need More Ratings,Satire,4951,41,0.0020629630833360417,0.00205,1.2963083336041577e-05
2025,Need More Ratings,Unverified claim as fact,14853,124,0.006188889250008125,0.0062,1.1110749991874967e-05
2025,Not Helpful,Factual error,8466,71,0.003527579370535837,0.00355,2.2420629464163077e-05
2025,Not Helpful,Manipulated media,1460,12,0.000608347021141309,0.0006,8.347021141309101e-06
2025,Not Helpful,Missing important context,4368,36,0.0018200409509213956,0.0018,2.0040950921395694e-05
2025,Not Helpful,Not misleading,11376,95,0.004740106652399679,0.00475,9.893347600320457e-06
2025,Not Helpful,Other,1495,13,0.0006229306826070253,0.00065,2.706931739297465e-05
2025,Not Helpful,Outdated information,1399,12,0.0005829297825867748,0.0006,1.7070217413225116e-05
2025,Not Helpful,Satire,464,4,0.00019333768343121055,0.0002,6.662316568789464e-06
2025,Not Helpful,Unverified claim as fact,800,7,0.0003333408335020871,0.00035,1.6659166497912873e-05
2026,Helpful,Factual error,11211,93,0.004671355105489873,0.00465,2.1355105489873592e-05
2026,Helpful,Manipulated media,7147,60,0.002977983671299271,0.003,2.2016328700729098e-05
2026,Helpful,Missing important context,4057,34,0.0016904547018974593,0.0017,9.545298102540609e-06
2026,Helpful,Other,1172,10,0.0004883443210805577,0.0005,1.1655678919442322e-05
2026,Helpful,Outdated information,1347,11,0.0005612626284091392,0.00055,1.1262628409139126e-05
2026,Helpful,Satire,231,2,9.625216567372765e-05,0.0001,3.7478343262723526e-06
2026,Helpful,Unverified claim as fact,557,5,0.00023208855532582816,0.00025,1.7911444674171845e-05
2026,Need More Ratings,Factual error,85188,710,0.03549579865546975,0.0355,4.201344530246898e-06
2026,Need More Ratings,Manipulated media,30881,257,0.01286737284922244,0.01285,1.7372849222440506e-05
2026,Need More Ratings,Missing important context,31980,267,0.013325299819245934,0.01335,2.470018075406699e-05
2026,Need More Ratings,Not misleading,39397,328,0.016415786021852157,0.0164,1.5786021852155774e-05
2026,Need More Ratings,Other,14835,124,0.006181389081254329,0.0062,1.861091874567119e-05
2026,Need More Ratings,Outdated information,10445,87,0.004352181257411625,0.00435,2.1812574116254063e-06
2026,Need More Ratings,Satire,1348,11,0.0005616793044510168,0.00055,1.1679304451016814e-05
2026,Need More Ratings,Unverified claim as fact,4831,40,0.0020129619583107287,0.002,1.296195831072865e-05
2026,Not Helpful,Factual error,3362,28,0.0014008648527925212,0.0014,8.648527925212215e-07
2026,Not Helpful,Manipulated media,880,7,0.00036667491685229585,0.00035,1.667491685229585e-05
2026,Not Helpful,Missing important context,1701,14,0.0007087659472338127,0.0007,8.765947233812751e-06
2026,Not Helpful,Not misleading,3466,29,0.0014441991611477926,0.00145,5.800838852207347e-06
2026,Not Helpful,Other,591,5,0.00024625554074966685,0.00025,3.744459250333153e-06
2026,Not Helpful,Outdated information,480,4,0.00020000450010125228,0.0002,4.500101252275174e-09
2026,Not Helpful,Satire,137,1,5.7084617737232424e-05,5e-05,7.084617737232422e-06
2026,Not Helpful,Unverified claim as fact,306,3,0.00012750286881454834,0.00015,2.2497131185451647e-05
