distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,year,status_label
semantic_topic,crime_law_public_safety,109739,999,0.045725593106847776,0.046517042279754145,0.0007914491729063694,,
semantic_topic,economy_business_crypto,132533,855,0.055223302847937895,0.039811883032222016,0.01541141981571588,,
semantic_topic,entertainment_sports_gaming,52217,459,0.021757563812867534,0.02137269510150866,0.0003848687113588746,,
semantic_topic,health_science_medicine,87023,874,0.036260384083481846,0.04069659154404917,0.004436207460567325,,
semantic_topic,other_misc,229008,2198,0.0954221072382015,0.10234680573663625,0.006924698498434745,,
semantic_topic,platform_media_internet,1240110,10977,0.5167239109863676,0.5111287018066679,0.0055952091796996895,,
semantic_topic,politics_elections_government,281195,2708,0.11716717077502128,0.12609424473831254,0.00892707396329126,,
semantic_topic,social_culture_identity,97850,870,0.040771733709119407,0.04051033712050661,0.00026139658861279447,,
semantic_topic,war_geopolitics_international,170272,1536,0.07094823344015513,0.0715216986403427,0.0005734652001875701,,
year_semantic_topic,crime_law_public_safety,1038,9,0.00043250955125259015,0.00041907245297075806,1.3437098281832095e-05,2021.0,
year_semantic_topic,economy_business_crypto,490,3,0.0002041711754467911,0.00013969081765691934,6.448035778987176e-05,2021.0,
year_semantic_topic,entertainment_sports_gaming,112,2,4.6667697244980826e-05,9.312721177127957e-05,4.645951452629874e-05,2021.0,
year_semantic_topic,health_science_medicine,3809,30,0.0015871183821976069,0.0013969081765691936,0.0001902102056284133,2021.0,
year_semantic_topic,other_misc,2686,21,0.0011191913821430224,0.0009778357235984355,0.00014135565854458683,2021.0,
year_semantic_topic,platform_media_internet,3961,26,0.0016504531141729379,0.0012106537530266344,0.00043979936114630345,2021.0,
year_semantic_topic,politics_elections_government,3979,43,0.0016579532798015957,0.002002235053082511,0.0003442817732809151,2021.0,
year_semantic_topic,social_culture_identity,736,9,0.00030667343903844545,0.00041907245297075806,0.00011239901393231261,2021.0,
year_semantic_topic,war_geopolitics_international,397,9,0.0001654203196987267,0.00041907245297075806,0.00025365213327203137,2021.0,
year_semantic_topic,crime_law_public_safety,1546,15,0.0006441808923280389,0.0006984540882845968,5.427319595655792e-05,2022.0,
year_semantic_topic,economy_business_crypto,909,12,0.00037875836424721045,0.0005587632706276774,0.00018000490638046693,2022.0,
year_semantic_topic,entertainment_sports_gaming,208,3,8.666858059782153e-05,0.00013969081765691934,5.302223705909781e-05,2022.0,
year_semantic_topic,health_science_medicine,2150,19,0.0008958531167563284,0.0008847085118271559,1.114460492917255e-05,2022.0,
year_semantic_topic,other_misc,1879,10,0.0007829339564582052,0.00046563605885639785,0.0003172978976018073,2022.0,
year_semantic_topic,platform_media_internet,5951,45,0.002479638092007865,0.0020953622648537903,0.00038427582715407473,2022.0,
year_semantic_topic,politics_elections_government,4838,42,0.0020158778506358683,0.001955671447196871,6.02064034389972e-05,2022.0,
year_semantic_topic,social_culture_identity,920,8,0.00038334179879805677,0.00037250884708511827,1.08329517129385e-05,2022.0,
year_semantic_topic,war_geopolitics_international,749,5,0.0003120902253258093,0.00023281802942819892,7.927219589761036e-05,2022.0,
year_semantic_topic,crime_law_public_safety,17179,138,0.007158074740817193,0.0064257776122182905,0.0007322971285989022,2023.0,
year_semantic_topic,economy_business_crypto,16794,90,0.006997654531537572,0.004190724529707581,0.002806930001829991,2023.0,
year_semantic_topic,entertainment_sports_gaming,6784,69,0.00282672909026741,0.0032128888061091453,0.00038615971584173535,2023.0,
year_semantic_topic,health_science_medicine,20155,217,0.008398102124755256,0.010104302477183833,0.0017062003524285774,2023.0,
year_semantic_topic,other_misc,50141,471,0.020892544710362355,0.021931458372136337,0.0010389136617739818,2023.0,
year_semantic_topic,platform_media_internet,167273,1454,0.06969862251124713,0.06770348295772025,0.001995139553526884,2023.0,
year_semantic_topic,politics_elections_government,36266,326,0.015111167038272096,0.01517973551871857,6.856848044647403e-05,2023.0,
year_semantic_topic,social_culture_identity,15860,139,0.006608479270583892,0.00647234121810393,0.0001361380524799614,2023.0,
year_semantic_topic,war_geopolitics_international,38457,306,0.016024103865627033,0.014248463401005773,0.00177564046462126,2023.0,
year_semantic_topic,crime_law_public_safety,41668,345,0.017362050078605903,0.016064444030545726,0.0012976060480601771,2024.0,
year_semantic_topic,economy_business_crypto,69214,377,0.028839803545661635,0.017554479418886198,0.011285324126775437,2024.0,
year_semantic_topic,entertainment_sports_gaming,22482,182,0.009367706870193383,0.00847457627118644,0.0008931305990069419,2024.0,
year_semantic_topic,health_science_medicine,36943,358,0.015393256601083274,0.016669770907059043,0.0012765143059757685,2024.0,
year_semantic_topic,other_misc,101093,985,0.04212301354988256,0.04586515179735519,0.0037421382474726317,2024.0,
year_semantic_topic,platform_media_internet,500677,4290,0.20862002369218988,0.19975786924939468,0.0088621544427952,2024.0,
year_semantic_topic,politics_elections_government,123991,1134,0.051664057581271586,0.052803129074315516,0.0011390714930439305,2024.0,
year_semantic_topic,social_culture_identity,38848,317,0.016187024130116207,0.014760663065747812,0.0014263610643683953,2024.0,
year_semantic_topic,war_geopolitics_international,69028,630,0.028762301834165505,0.029335071707953065,0.0005727698737875604,2024.0,
year_semantic_topic,crime_law_public_safety,34666,349,0.014444485649058083,0.016250698454088285,0.001806212805030202,2025.0,
year_semantic_topic,economy_business_crypto,37682,305,0.015701180067726497,0.014201899795120133,0.0014992802726063632,2025.0,
year_semantic_topic,entertainment_sports_gaming,14948,130,0.006228470878731906,0.006053268765133172,0.0001752021135987339,2025.0,
year_semantic_topic,health_science_medicine,17995,188,0.007498082249316339,0.008753957906500279,0.0012558756571839401,2025.0,
year_semantic_topic,other_misc,59150,566,0.024646377607505498,0.02635500093127212,0.0017086233237666205,2025.0,
year_semantic_topic,platform_media_internet,418826,3795,0.17451468719934232,0.17670888433600299,0.002194197136660664,2025.0,
year_semantic_topic,politics_elections_government,82213,869,0.03425617315715722,0.04046377351462097,0.006207600357463754,2025.0,
year_semantic_topic,social_culture_identity,30305,289,0.012627362187581643,0.013456882100949898,0.0008295199133682551,2025.0,
year_semantic_topic,war_geopolitics_international,39400,378,0.01641702920939504,0.017601043024771838,0.0011840138153767985,2025.0,
year_semantic_topic,crime_law_public_safety,13642,143,0.005684292194785968,0.006658595641646489,0.000974303446860521,2026.0,
year_semantic_topic,economy_business_crypto,7444,68,0.00310173516331819,0.003166325200223505,6.459003690531496e-05,2026.0,
year_semantic_topic,entertainment_sports_gaming,7683,73,0.003201320695832033,0.003399143229651704,0.00019782253381967103,2026.0,
year_semantic_topic,health_science_medicine,5971,62,0.00248797160937304,0.0028869435649096667,0.0003989719555366265,2026.0,
year_semantic_topic,other_misc,14059,145,0.00585804603184987,0.006751722853417769,0.0008936768215678983,2026.0,
year_semantic_topic,platform_media_internet,143422,1367,0.0597604863774075,0.06365244924566958,0.003891962868262079,2026.0,
year_semantic_topic,politics_elections_government,29908,294,0.012461941867882916,0.013689700130378096,0.0012277582624951808,2026.0,
year_semantic_topic,social_culture_identity,11181,108,0.004658852883001166,0.005028869435649097,0.0003700165526479308,2026.0,
year_semantic_topic,war_geopolitics_international,22241,208,0.009267287985943022,0.009685230024213076,0.00041794203827005307,2026.0,
status_semantic_topic,crime_law_public_safety,10369,64,0.0043205120779750555,0.002980070776680946,0.0013404413012941094,,Helpful
status_semantic_topic,economy_business_crypto,18714,70,0.007797672198594386,0.003259452411994785,0.004538219786599601,,Helpful
status_semantic_topic,entertainment_sports_gaming,7223,50,0.0030096497964330047,0.0023281802942819894,0.0006814695021510153,,Helpful
status_semantic_topic,health_science_medicine,7885,88,0.003285489221220302,0.004097597317936301,0.0008121080967159991,,Helpful
status_semantic_topic,other_misc,936,6,0.00039000861269019693,0.0002793816353138387,0.00011062697737635824,,Helpful
status_semantic_topic,platform_media_internet,137495,1005,0.05729084850623785,0.04679642391506798,0.010494424591169865,,Helpful
status_semantic_topic,politics_elections_government,18606,139,0.007752671204822439,0.00647234121810393,0.0012803299867185092,,Helpful
status_semantic_topic,social_culture_identity,8469,62,0.0035288279282834163,0.0028869435649096667,0.0006418843633737496,,Helpful
status_semantic_topic,war_geopolitics_international,12295,90,0.005123029800241422,0.004190724529707581,0.0009323052705338414,,Helpful
status_semantic_topic,crime_law_public_safety,96221,903,0.0400929687197259,0.04204693611473272,0.0019539673950068268,,Need More Ratings
status_semantic_topic,economy_business_crypto,111943,769,0.046643946720490076,0.03580741292605699,0.010836533794433084,,Need More Ratings
status_semantic_topic,entertainment_sports_gaming,42733,390,0.01780580987830148,0.018159806295399514,0.00035399641709803545,,Need More Ratings
status_semantic_topic,health_science_medicine,77717,777,0.032382798453465846,0.03617992177314211,0.003797123319676264,,Need More Ratings
status_semantic_topic,other_misc,208845,2022,0.08702067170650019,0.09415161110076364,0.007130939394263458,,Need More Ratings
status_semantic_topic,platform_media_internet,1062260,9573,0.4426181078165476,0.44575339914322964,0.003135291326682055,,Need More Ratings
status_semantic_topic,politics_elections_government,254627,2487,0.10609692630712261,0.11580368783758614,0.009706761530463529,,Need More Ratings
status_semantic_topic,social_culture_identity,85428,774,0.03559578607360912,0.03604023095548519,0.0004444448818760674,,Need More Ratings
status_semantic_topic,war_geopolitics_international,151291,1380,0.06303930878473567,0.0642577761221829,0.0012184673374472377,,Need More Ratings
status_semantic_topic,crime_law_public_safety,3149,32,0.0013121123091468269,0.001490035388340473,0.00017792307919364619,,Not Helpful
status_semantic_topic,economy_business_crypto,1876,16,0.0007816839288534289,0.0007450176941702365,3.6666234683192345e-05,,Not Helpful
status_semantic_topic,entertainment_sports_gaming,2261,19,0.0009421041381330504,0.0008847085118271559,5.739562630589453e-05,,Not Helpful
status_semantic_topic,health_science_medicine,1421,9,0.0005920964087956942,0.00041907245297075806,0.00017302395582493614,,Not Helpful
status_semantic_topic,other_misc,19227,170,0.008011426919011128,0.007915813000558764,9.561391845236411e-05,,Not Helpful
status_semantic_topic,platform_media_internet,40355,399,0.016814954663582155,0.018578878748370272,0.0017639240847881175,,Not Helpful
status_semantic_topic,politics_elections_government,7962,82,0.0033175732630762265,0.0038182156826224623,0.0005006424195462358,,Not Helpful
status_semantic_topic,social_culture_identity,3953,34,0.0016471197072268678,0.0015831626001117525,6.395710711511529e-05,,Not Helpful
status_semantic_topic,war_geopolitics_international,6686,66,0.0027858948551780518,0.0030731979884522256,0.00028730313327417385,,Not Helpful
year_status_semantic_topic,crime_law_public_safety,49,1,2.041711754467911e-05,4.6563605885639784e-05,2.6146488340960673e-05,2021.0,Helpful
year_status_semantic_topic,economy_business_crypto,19,0,7.91684149691639e-06,0.0,7.91684149691639e-06,2021.0,Helpful
year_status_semantic_topic,entertainment_sports_gaming,5,0,2.0833793412937868e-06,0.0,2.0833793412937868e-06,2021.0,Helpful
year_status_semantic_topic,health_science_medicine,101,2,4.20842626941345e-05,9.312721177127957e-05,5.104294907714507e-05,2021.0,Helpful
year_status_semantic_topic,other_misc,15,0,6.250138023881361e-06,0.0,6.250138023881361e-06,2021.0,Helpful
year_status_semantic_topic,platform_media_internet,202,0,8.4168525388269e-05,0.0,8.4168525388269e-05,2021.0,Helpful
year_status_semantic_topic,politics_elections_government,118,1,4.916775245453337e-05,4.6563605885639784e-05,2.604146568893589e-06,2021.0,Helpful
year_status_semantic_topic,social_culture_identity,22,0,9.166869101692662e-06,0.0,9.166869101692662e-06,2021.0,Helpful
year_status_semantic_topic,war_geopolitics_international,18,0,7.500165628657633e-06,0.0,7.500165628657633e-06,2021.0,Helpful
year_status_semantic_topic,crime_law_public_safety,983,8,0.0004095923784983585,0.00037250884708511827,3.708353141324022e-05,2021.0,Need More Ratings
year_status_semantic_topic,economy_business_crypto,466,3,0.00019417095460858095,0.00013969081765691934,5.448013695166161e-05,2021.0,Need More Ratings
year_status_semantic_topic,entertainment_sports_gaming,107,2,4.4584317903687036e-05,9.312721177127957e-05,4.854289386759253e-05,2021.0,Need More Ratings
year_status_semantic_topic,health_science_medicine,3697,28,0.001540450684952626,0.001303780964797914,0.00023666972015471202,2021.0,Need More Ratings
year_status_semantic_topic,other_misc,2620,21,0.0010916907748379444,0.0009778357235984355,0.00011385505123950889,2021.0,Need More Ratings
year_status_semantic_topic,platform_media_internet,3735,26,0.001556284367946459,0.0012106537530266344,0.00034563061491982446,2021.0,Need More Ratings
year_status_semantic_topic,politics_elections_government,3839,42,0.0015996186582453696,0.001955671447196871,0.0003560527889515015,2021.0,Need More Ratings
year_status_semantic_topic,social_culture_identity,708,9,0.0002950065147272002,0.00041907245297075806,0.00012406593824355785,2021.0,Need More Ratings
year_status_semantic_topic,war_geopolitics_international,379,9,0.00015792015407006905,0.00041907245297075806,0.000261152298900689,2021.0,Need More Ratings
year_status_semantic_topic,crime_law_public_safety,6,0,2.500055209552544e-06,0.0,2.500055209552544e-06,2021.0,Not Helpful
year_status_semantic_topic,economy_business_crypto,5,0,2.0833793412937868e-06,0.0,2.0833793412937868e-06,2021.0,Not Helpful
year_status_semantic_topic,health_science_medicine,11,0,4.583434550846331e-06,0.0,4.583434550846331e-06,2021.0,Not Helpful
year_status_semantic_topic,other_misc,51,0,2.1250469281196627e-05,0.0,2.1250469281196627e-05,2021.0,Not Helpful
year_status_semantic_topic,platform_media_internet,24,0,1.0000220838210177e-05,0.0,1.0000220838210177e-05,2021.0,Not Helpful
year_status_semantic_topic,politics_elections_government,22,0,9.166869101692662e-06,0.0,9.166869101692662e-06,2021.0,Not Helpful
year_status_semantic_topic,social_culture_identity,6,0,2.500055209552544e-06,0.0,2.500055209552544e-06,2021.0,Not Helpful
year_status_semantic_topic,crime_law_public_safety,204,1,8.500187712478651e-05,4.6563605885639784e-05,3.8438271239146724e-05,2022.0,Helpful
year_status_semantic_topic,economy_business_crypto,111,0,4.625102137672207e-05,0.0,4.625102137672207e-05,2022.0,Helpful
year_status_semantic_topic,entertainment_sports_gaming,34,1,1.4166979520797751e-05,4.6563605885639784e-05,3.239662636484203e-05,2022.0,Helpful
year_status_semantic_topic,health_science_medicine,132,1,5.500121461015597e-05,4.6563605885639784e-05,8.437608724516188e-06,2022.0,Helpful
year_status_semantic_topic,other_misc,8,0,3.333406946070059e-06,0.0,3.333406946070059e-06,2022.0,Helpful
year_status_semantic_topic,platform_media_internet,758,6,0.0003158403081401381,0.0002793816353138387,3.6458672826299404e-05,2022.0,Helpful
year_status_semantic_topic,politics_elections_government,450,5,0.00018750414071644082,0.00023281802942819892,4.5313888711758107e-05,2022.0,Helpful
year_status_semantic_topic,social_culture_identity,72,0,3.0000662514630532e-05,0.0,3.0000662514630532e-05,2022.0,Helpful
year_status_semantic_topic,war_geopolitics_international,95,1,3.958420748458195e-05,4.6563605885639784e-05,6.979398401057833e-06,2022.0,Helpful
year_status_semantic_topic,crime_law_public_safety,1325,14,0.0005520955254428536,0.000651890482398957,9.979495695610339e-05,2022.0,Need More Ratings
year_status_semantic_topic,economy_business_crypto,786,12,0.0003275072324513833,0.0005587632706276774,0.0002312560381762941,2022.0,Need More Ratings
year_status_semantic_topic,entertainment_sports_gaming,166,2,6.916819413095373e-05,9.312721177127957e-05,2.3959017640325838e-05,2022.0,Need More Ratings
year_status_semantic_topic,health_science_medicine,1991,17,0.000829601653703186,0.0007915813000558763,3.8020353647309725e-05,2022.0,Need More Ratings
year_status_semantic_topic,other_misc,1619,8,0.0006745982307109282,0.00037250884708511827,0.00030208938362580995,2022.0,Need More Ratings
year_status_semantic_topic,platform_media_internet,5067,39,0.0021112966244671238,0.0018159806295399517,0.0002953159949271721,2022.0,Need More Ratings
