agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,delta_accuracy_vs_vote_only,delta_accuracy_vs_summary_all,delta_accuracy_vs_hybrid_all
12,full,,agent_votes_only,agent_identity,Per-agent binary vote indicators without summary quality features.,12,0.7596899224806202,0.7590274434280212,0.7479674796747967,0.7761194029850746,0.7419354838709677,1.0,258,0.7053294573643412,0.810077519379845,1.0,1.0,-0.007751937984496138,-0.03875968992248058,-0.06976744186046513
12,full,,vote_plus_agent_votes,agent_identity,Vote share plus per-agent binary vote indicators.,13,0.7441860465116279,0.7428984111699567,0.7272727272727273,0.7761194029850746,0.7096774193548387,1.0,258,0.689922480620155,0.798546511627907,1.0,1.0,-0.023255813953488413,-0.054263565891472854,-0.0852713178294574
12,full,,cumulative_through_quality,cumulative,Cumulative feature set through quality.,11,0.8255813953488372,0.8254694270582571,0.8192771084337349,0.8283582089552238,0.8225806451612904,1.0,258,0.7828488372093023,0.8760658914728683,1.0,1.0,0.05813953488372092,0.027131782945736482,-0.003875968992248069
12,full,,cumulative_through_cluster_quality,cumulative,Cumulative feature set through cluster_quality.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.751937984496124,0.8449612403100775,1.0,1.0,0.03100775193798444,0.0,-0.03100775193798455
12,full,,cumulative_through_failure,cumulative,Cumulative feature set through failure.,14,0.7945736434108527,0.7959195955705345,0.7953667953667953,0.7611940298507462,0.8306451612903226,1.0,258,0.7441860465116279,0.8450581395348837,1.0,1.0,0.02713178294573637,-0.003875968992248069,-0.03488372093023262
12,full,,cumulative_through_cluster_disagreement,cumulative,Cumulative feature set through cluster_disagreement.,18,0.7906976744186046,0.7909845931632162,0.7857142857142857,0.7835820895522388,0.7983870967741935,1.0,258,0.7402131782945737,0.8372093023255814,1.0,1.0,0.023255813953488302,-0.007751937984496138,-0.03875968992248069
12,full,,cumulative_through_vote_uncertainty,cumulative,Cumulative feature set through vote_uncertainty.,4,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7170542635658915,0.813953488372093,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,cumulative_through_confidence,cumulative,Cumulative feature set through confidence.,6,0.7674418604651163,0.7664901299951854,0.7540983606557377,0.7910447761194029,0.7419354838709677,1.0,258,0.7054263565891473,0.8140503875968993,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,hybrid_all,full_model,All summary features plus per-agent vote indicators.,35,0.8294573643410853,0.8282980259990371,0.8181818181818182,0.8582089552238806,0.7983870967741935,1.0,258,0.7790697674418605,0.872093023255814,1.0,1.0,0.06201550387596899,0.03100775193798455,0.0
12,full,,summary_all,full_model,All non-agent summary features.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.751937984496124,0.8449612403100775,1.0,1.0,0.03100775193798444,0.0,-0.03100775193798455
12,full,,summary_minus_vote_uncertainty,leave_one_group_out,All summary features except vote_uncertainty.,20,0.813953488372093,0.8139744824265769,0.808,0.8134328358208955,0.8145161290322581,1.0,258,0.7674418604651163,0.8643410852713178,1.0,1.0,0.046511627906976716,0.015503875968992276,-0.015503875968992276
12,full,,summary_minus_quality,leave_one_group_out,All summary features except quality.,18,0.810077519379845,0.8096413095811266,0.8016194331983806,0.8208955223880597,0.7983870967741935,1.0,258,0.7674418604651163,0.8604651162790697,1.0,1.0,0.04263565891472865,0.011627906976744207,-0.019379844961240345
12,full,,summary_minus_failure,leave_one_group_out,All summary features except failure.,20,0.8023255813953488,0.8024795377948964,0.796812749003984,0.7985074626865671,0.8064516129032258,1.0,258,0.748062015503876,0.8489341085271318,1.0,1.0,0.03488372093023251,0.003875968992248069,-0.027131782945736482
12,full,,hybrid_minus_agent_votes,leave_one_group_out,Hybrid feature set without per-agent vote indicators.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.748062015503876,0.8527131782945736,1.0,1.0,0.03100775193798444,0.0,-0.03100775193798455
12,full,,summary_minus_cluster_disagreement,leave_one_group_out,All summary features except cluster_disagreement.,19,0.7945736434108527,0.7941141068849302,0.7854251012145749,0.8059701492537313,0.782258064516129,1.0,258,0.7478682170542635,0.8410852713178295,1.0,1.0,0.02713178294573637,-0.003875968992248069,-0.03488372093023262
12,full,,summary_minus_confidence,leave_one_group_out,All summary features except confidence.,21,0.7906976744186046,0.7906836783822822,0.784,0.7910447761194029,0.7903225806451613,1.0,258,0.748062015503876,0.8410852713178295,1.0,1.0,0.023255813953488302,-0.007751937984496138,-0.03875968992248069
12,full,,summary_minus_cluster_quality,leave_one_group_out,All summary features except cluster_quality.,18,0.7906976744186046,0.7909845931632162,0.7857142857142857,0.7835820895522388,0.7983870967741935,1.0,258,0.7403100775193798,0.8372093023255814,1.0,1.0,0.023255813953488302,-0.007751937984496138,-0.03875968992248069
12,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8255813953488372,0.8242657679345209,0.8132780082987552,0.8582089552238806,0.7903225806451613,1.0,258,0.7790697674418605,0.8682170542635659,1.0,1.0,0.05813953488372092,0.027131782945736482,-0.003875968992248069
12,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.8023255813953488,0.8027804525758305,0.7984189723320159,0.7910447761194029,0.8145161290322581,1.0,258,0.755717054263566,0.8488372093023255,1.0,1.0,0.03488372093023251,0.003875968992248069,-0.027131782945736482
12,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7130813953488373,0.8179263565891474,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,vote_plus_uncertainty,single_addition,"Vote share plus vote-count, margin, and entropy features.",4,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7093023255813954,0.8255813953488372,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,vote_plus_failure,single_addition,Vote share plus explicit failure signals.,4,0.7674418604651163,0.7673928743379874,0.76,0.7686567164179104,0.7661290322580645,1.0,258,0.7247093023255814,0.8178294573643411,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
12,full,,vote_plus_confidence,single_addition,Vote share plus mean confidence and confidence-weighted Helpful share.,3,0.7635658914728682,0.7618560423688012,0.7447698744769874,0.8059701492537313,0.717741935483871,1.0,258,0.7130813953488373,0.8140503875968993,1.0,1.0,-0.003875968992248069,-0.03488372093023251,-0.06589147286821706
12,full,,vote_plus_cluster_disagreement,single_addition,Vote share plus between-cluster disagreement statistics.,5,0.7635658914728682,0.7618560423688012,0.7447698744769874,0.8059701492537313,0.717741935483871,1.0,258,0.7054263565891473,0.813953488372093,1.0,1.0,-0.003875968992248069,-0.03488372093023251,-0.06589147286821706
12,full,,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.8178294573643411,0.8177058257101589,0.8112449799196787,0.8208955223880597,0.8145161290322581,1.0,258,0.7712209302325582,0.8566860465116279,1.0,1.0,0.050387596899224785,0.019379844961240345,-0.011627906976744207
12,full,,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.8178294573643411,0.8177058257101589,0.8112449799196787,0.8208955223880597,0.8145161290322581,1.0,258,0.7751937984496124,0.860562015503876,1.0,1.0,0.050387596899224785,0.019379844961240345,-0.011627906976744207
12,full,,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.813953488372093,0.8145763119884448,0.8110236220472441,0.7985074626865671,0.8306451612903226,1.0,258,0.7673449612403102,0.8565891472868217,1.0,1.0,0.046511627906976716,0.015503875968992276,-0.015503875968992276
12,resolved,0.65,agent_votes_only,agent_identity,Per-agent binary vote indicators without summary quality features.,12,0.8484848484848485,0.8419811320754718,0.8214285714285714,0.9339622641509434,0.75,0.7674418604651163,198,0.802906045243675,0.8912604019469305,0.7169573643410854,0.8141472868217055,0.004734848484848508,-0.037384716732542844,-0.04536990011850339
12,resolved,0.65,vote_plus_agent_votes,agent_identity,Vote share plus per-agent binary vote indicators.,13,0.8426395939086294,0.836231884057971,0.8143712574850299,0.9333333333333333,0.7391304347826086,0.7635658914728682,197,0.7930778422669853,0.8914119170984456,0.7092054263565892,0.8102713178294574,-0.001110406091370586,-0.04322997130876194,-0.05121515469472249
12,resolved,0.65,cumulative_through_quality,cumulative,Cumulative feature set through quality.,11,0.9285714285714286,0.9285714285714286,0.9302325581395349,0.9047619047619048,0.9523809523809523,0.6511627906976745,168,0.8882673348669077,0.9647211832709963,0.5928294573643411,0.7132751937984497,0.0848214285714286,0.04270186335403725,0.0347166799680767
12,resolved,0.65,cumulative_through_failure,cumulative,Cumulative feature set through failure.,14,0.8959537572254336,0.8975387907972177,0.898876404494382,0.8426966292134831,0.9523809523809523,0.6705426356589147,173,0.8546913636779925,0.9316901779134645,0.6162790697674418,0.7248062015503876,0.05220375722543358,0.010084192008042225,0.0020990086220816773
12,resolved,0.65,cumulative_through_cluster_disagreement,cumulative,Cumulative feature set through cluster_disagreement.,18,0.8870967741935484,0.887639146567718,0.88268156424581,0.8775510204081632,0.8977272727272727,0.7209302325581395,186,0.8406273131014064,0.9330345136709995,0.6589147286821705,0.7713178294573644,0.043346774193548376,0.0012272089761570237,-0.006757974409803524
12,resolved,0.65,cumulative_through_cluster_quality,cumulative,Cumulative feature set through cluster_quality.,23,0.8858695652173914,0.8864201919658727,0.8813559322033898,0.8762886597938144,0.896551724137931,0.7131782945736435,184,0.8359972677595628,0.9305243360826612,0.6548449612403101,0.7598837209302326,0.04211956521739135,0.0,-0.007985183385960548
12,resolved,0.65,cumulative_through_confidence,cumulative,Cumulative feature set through confidence.,6,0.8301886792452831,0.8275800553028276,0.8125,0.8828828828828829,0.7722772277227723,0.8217054263565892,212,0.7740002962085308,0.8768238393226889,0.7633720930232558,0.8683139534883721,-0.013561320754716943,-0.055680885972108296,-0.06366606935806884
12,resolved,0.65,cumulative_through_vote_uncertainty,cumulative,Cumulative feature set through vote_uncertainty.,4,0.822429906542056,0.8179824561403508,0.7978723404255319,0.8859649122807017,0.75,0.8294573643410853,214,0.7673945699343496,0.8685446009389671,0.7905038759689922,0.8760658914728683,-0.021320093457943945,-0.0634396586753353,-0.07142484206129585
12,resolved,0.65,hybrid_all,full_model,All summary features plus per-agent vote indicators.,35,0.8938547486033519,0.8951754385964912,0.8901734104046243,0.8736842105263158,0.9166666666666666,0.6937984496124031,179,0.8456481481481481,0.9364694674976588,0.6431201550387597,0.7442829457364342,0.0501047486033519,0.007985183385960548,0.0
12,resolved,0.65,summary_all,full_model,All non-agent summary features.,23,0.8858695652173914,0.8864201919658727,0.8813559322033898,0.8762886597938144,0.896551724137931,0.7131782945736435,184,0.8350085910652921,0.9211137474834628,0.6589147286821705,0.7675387596899226,0.04211956521739135,0.0,-0.007985183385960548
12,resolved,0.65,summary_minus_cluster_disagreement,leave_one_group_out,All summary features except cluster_disagreement.,19,0.9011627906976745,0.901651550020306,0.8994082840236687,0.8876404494382022,0.9156626506024096,0.6666666666666666,172,0.8538011695906432,0.9412504107788366,0.6201550387596899,0.717248062015504,0.057412790697674465,0.015293225480283112,0.007308042094322564
12,resolved,0.65,summary_minus_quality,leave_one_group_out,All summary features except quality.,18,0.8977272727272727,0.8995848469122989,0.8941176470588236,0.8723404255319149,0.926829268292683,0.6821705426356589,176,0.8578719608879493,0.939565404475043,0.6278100775193799,0.73265503875969,0.05397727272727271,0.011857707509881354,0.0038725241239208064
12,resolved,0.65,summary_minus_confidence,leave_one_group_out,All summary features except confidence.,21,0.8932584269662921,0.8937057633973711,0.8914285714285715,0.8804347826086957,0.9069767441860465,0.689922480620155,178,0.8491992359682633,0.9386730600687656,0.6317829457364341,0.7482558139534884,0.049508426966292096,0.0073888617489007435,-0.0005963216370598046
12,resolved,0.65,summary_minus_vote_uncertainty,leave_one_group_out,All summary features except vote_uncertainty.,20,0.888268156424581,0.8894098524631158,0.8876404494382022,0.8602150537634409,0.9186046511627907,0.6937984496124031,179,0.8370377613426255,0.9282558139534884,0.635562015503876,0.748062015503876,0.04451815642458101,0.00239859120718966,-0.005586592178770888
12,resolved,0.65,summary_minus_cluster_quality,leave_one_group_out,All summary features except cluster_quality.,18,0.8870967741935484,0.887639146567718,0.88268156424581,0.8775510204081632,0.8977272727272727,0.7209302325581395,186,0.8441473239211933,0.9286466165413534,0.6627906976744186,0.7752906976744187,0.043346774193548376,0.0012272089761570237,-0.006757974409803524
12,resolved,0.65,summary_minus_failure,leave_one_group_out,All summary features except failure.,20,0.8864864864864865,0.8868421052631579,0.8852459016393442,0.8736842105263158,0.9,0.7170542635658915,185,0.8379815145222147,0.9204143754909663,0.6626937984496124,0.7790697674418605,0.042736486486486536,0.0006169212690951831,-0.007368262116865365
12,resolved,0.65,hybrid_minus_agent_votes,leave_one_group_out,Hybrid feature set without per-agent vote indicators.,23,0.8858695652173914,0.8864201919658727,0.8813559322033898,0.8762886597938144,0.896551724137931,0.7131782945736435,184,0.8358465608465608,0.9322485588918523,0.6550387596899225,0.7636627906976745,0.04211956521739135,0.0,-0.007985183385960548
12,resolved,0.65,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.9230769230769231,0.9233678901653124,0.9230769230769231,0.9069767441860465,0.9397590361445783,0.6550387596899225,169,0.8778918176630047,0.9629906852960745,0.6084302325581395,0.7093992248062017,0.07932692307692313,0.037207357859531776,0.029222174473571227
12,resolved,0.65,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8959537572254336,0.8971102150537634,0.8902439024390244,0.8817204301075269,0.9125,0.6705426356589147,173,0.8524050260135466,0.9346814243448859,0.6122093023255814,0.7209302325581395,0.05220375722543358,0.010084192008042225,0.0020990086220816773
12,resolved,0.65,vote_plus_failure,single_addition,Vote share plus explicit failure signals.,4,0.8633879781420765,0.8599256772956125,0.8466257668711656,0.9175257731958762,0.8023255813953488,0.7093023255813954,183,0.8131779984721161,0.9095864291343014,0.6510658914728683,0.7560077519379845,0.019637978142076462,-0.02248158707531489,-0.03046677046127544
12,resolved,0.65,vote_plus_confidence,single_addition,Vote share plus mean confidence and confidence-weighted Helpful share.,3,0.8534031413612565,0.8467012356575463,0.8271604938271605,0.9320388349514563,0.7613636363636364,0.7403100775193798,191,0.8050255102040816,0.9025806451612903,0.6820736434108527,0.7869186046511628,0.009653141361256501,-0.03246642385613485,-0.0404516072420954
12,resolved,0.65,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.84375,0.8356643356643356,0.8125,0.9326923076923077,0.7386363636363636,0.7441860465116279,192,0.7807354410295587,0.8919350201265095,0.686046511627907,0.7947674418604651,0.0,-0.04211956521739135,-0.0501047486033519
12,resolved,0.65,vote_plus_cluster_disagreement,single_addition,Vote share plus between-cluster disagreement statistics.,5,0.8366336633663366,0.8299842395587076,0.8070175438596491,0.9259259259259259,0.7340425531914894,0.7829457364341085,202,0.7863904299583911,0.8782182741116751,0.7325581395348837,0.8294573643410853,-0.0071163366336634,-0.04923590185105475,-0.0572210852370153
12,resolved,0.65,vote_plus_uncertainty,single_addition,"Vote share plus vote-count, margin, and entropy features.",4,0.822429906542056,0.8179824561403508,0.7978723404255319,0.8859649122807017,0.75,0.8294573643410853,214,0.7724912895756237,0.876179393775859,0.7905038759689922,0.875968992248062,-0.021320093457943945,-0.0634396586753353,-0.07142484206129585
12,resolved,0.65,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.9175824175824175,0.9179050380572671,0.9171270718232044,0.9032258064516129,0.9325842696629213,0.7054263565891473,182,0.8797167098073051,0.9574524372396713,0.6588178294573643,0.7558139534883721,0.07383241758241754,0.03171285236502619,0.02372766897906564
12,resolved,0.65,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.9116022099447514,0.9114697970163854,0.9080459770114943,0.9148936170212766,0.9080459770114943,0.7015503875968992,181,0.8699227318045862,0.9513513513513514,0.6317829457364341,0.7635658914728682,0.06785220994475138,0.025732644727360032,0.017747461341399484
12,resolved,0.65,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.8983050847457628,0.8984674329501916,0.8977272727272727,0.8888888888888888,0.9080459770114943,0.686046511627907,177,0.8547954255513031,0.9432133838383839,0.627906976744186,0.7364341085271318,0.05455508474576276,0.012435519528371408,0.00445033614241086
